credit_score,income,loan_amount,employment_status,loan_purpose,previous_defaults,risk_label
703,121010,14834,1,2,0,0
451,52769,41656,1,1,2,1
353,127529,5840,0,0,3,0
419,145361,18873,1,0,1,0
719,44700,36568,0,2,0,0
721,135792,15846,1,0,2,0
403,100356,10899,0,3,3,1
553,96427,25502,0,3,4,0
526,120165,5565,0,1,2,0
411,25269,43773,0,2,3,0
809,141631,46924,0,0,4,0
772,63880,48242,0,1,3,0
398,134003,14187,0,0,0,0
452,28320,12226,0,3,2,0
637,69589,47147,1,0,4,0
462,139534,43658,2,0,3,0
460,96276,9311,0,0,4,0
697,55897,49214,1,3,1,0
576,78565,46616,0,3,2,0
803,50930,30689,1,2,0,0
691,77233,11083,0,3,4,0
434,102821,17598,0,1,3,0
494,34380,21940,0,0,4,0
700,96896,31880,0,3,3,0
332,90934,7580,1,1,4,0
759,75830,47321,1,3,0,0
769,25529,14386,0,0,0,0
674,141292,24522,0,1,2,0
321,114598,31224,1,3,0,0
337,122222,19635,1,3,4,0
529,102987,5671,0,1,4,0
664,69178,38545,0,2,0,0
737,26937,31855,0,1,1,0
582,141952,40790,0,1,4,0
326,59886,19260,0,1,2,0
525,69699,6074,0,1,1,0
576,96396,47676,1,3,0,0
583,110678,14475,0,1,3,0
780,45279,17878,2,1,4,0
752,58106,20120,1,0,3,0
815,130776,28147,2,3,2,1
846,121444,6986,0,0,1,0
491,126300,48593,1,3,3,1
348,133793,37430,0,2,2,0
811,136278,46961,0,2,3,0
316,99737,22430,0,3,3,0
471,60544,7176,0,2,2,0
519,123247,23722,1,2,4,0
457,131190,47815,1,3,3,0
776,28997,23617,0,1,2,0
345,126102,32115,0,0,3,0
672,105711,42376,0,3,4,0
817,136045,16906,0,3,2,1
398,60860,45002,1,3,3,1
336,23225,11610,0,0,0,1
579,130114,48292,2,3,4,0
648,79470,18411,0,0,3,0
796,133218,14180,0,0,1,0
601,148854,15073,0,2,2,0
480,120764,42251,0,1,3,1
398,127041,35960,0,2,4,0
415,132224,10901,1,3,4,0
490,83656,43897,1,3,1,0
552,71880,48183,0,0,1,0
460,81078,9482,0,2,3,0
555,108646,47454,0,0,0,0
622,96290,30428,0,2,4,0
427,76633,12400,0,2,0,0
317,46655,44574,0,2,0,0
622,141118,48284,1,2,3,0
587,63601,12396,1,2,2,0
454,23114,12338,2,1,2,1
789,46502,47718,0,3,2,0
685,69768,17500,2,2,1,0
403,68128,16545,0,2,4,0
692,40028,10241,0,0,1,0
545,75565,28778,2,3,4,0
475,103123,27821,0,3,4,0
338,128255,9695,0,3,4,0
776,55333,16530,1,2,3,0
837,23174,19318,2,0,2,0
707,137769,27331,1,3,1,0
824,55398,31355,0,0,1,0
805,55929,16324,0,1,3,0
335,24321,33149,2,1,4,0
319,143549,8218,0,0,2,0
620,115971,25141,0,2,0,0
811,131508,41784,0,3,0,0
699,75421,7837,0,1,3,0
770,92635,44802,0,1,2,0
442,43760,45077,0,0,0,0
391,31360,19379,0,2,0,0
653,30313,9239,0,0,1,0
350,131806,49896,0,0,2,0
489,105998,25812,0,0,0,1
424,25801,34669,1,0,1,0
449,34130,14611,0,0,2,0
613,34271,9150,0,2,4,0
641,36075,16109,2,0,2,0
604,122455,39214,0,2,3,0
353,127215,31016,0,3,1,0
743,38984,16936,0,3,4,0
563,108095,16036,1,3,1,0
352,80942,44236,2,3,1,0
304,32861,19021,2,1,0,0
402,118970,41943,1,2,2,0
495,102203,42848,0,3,1,0
649,91376,20471,0,1,1,0
346,81247,28244,0,2,3,0
568,89101,43985,0,1,3,0
669,128730,43440,1,1,3,0
405,40977,6502,0,0,1,0
419,70617,39178,0,1,4,0
357,77473,8770,1,1,2,0
645,106654,47865,0,2,1,0
773,108177,9001,0,1,0,0
416,92902,25946,0,0,4,0
426,112172,5598,0,3,4,0
692,35630,35316,0,3,2,0
357,40056,30567,0,2,4,0
812,27382,31508,0,2,2,1
395,75739,48744,1,1,4,0
417,101685,44159,2,2,2,0
787,68639,35276,0,1,3,0
536,79838,28671,0,2,3,0
571,66041,21450,1,3,4,1
488,20992,19908,2,3,4,0
746,92394,49358,0,3,2,0
546,87657,40518,0,3,2,0
375,47160,36212,1,1,1,0
453,65156,47684,0,1,3,0
734,71375,11806,0,1,1,0
385,106442,44197,0,3,1,0
584,39572,45891,0,0,0,0
519,137925,23015,0,3,2,0
368,24136,44220,0,3,0,0
346,81868,22158,1,0,0,0
393,102263,20456,0,0,1,0
752,52167,32588,0,2,0,0
503,130957,27491,0,3,2,0
517,35479,29188,1,0,1,0
773,139392,32079,0,2,2,0
731,51376,9019,0,0,4,0
640,24823,17419,0,0,0,1
588,145156,38697,1,2,1,1
553,90456,24396,0,3,3,0
656,39585,44032,0,2,2,0
322,123775,34892,0,3,0,0
821,37272,12973,1,0,2,0
399,46619,47465,0,2,2,0
479,95069,26113,1,1,4,0
522,59895,16136,1,0,2,0
741,23720,24203,2,2,4,0
624,39267,36285,0,0,4,1
815,35696,28039,2,2,4,1
315,49968,6184,0,3,0,0
635,73364,27727,0,1,2,0
557,43345,21911,1,0,2,0
796,71567,5916,0,1,4,0
459,111229,8574,0,3,2,0
774,81607,41087,0,2,2,0
679,39385,22790,0,1,4,1
844,103658,22625,0,2,3,0
726,86900,10206,1,3,3,0
567,88244,24517,1,0,4,0
716,85425,42696,0,3,0,0
467,98518,21105,0,1,2,0
342,102844,40656,2,1,2,0
584,52919,7690,0,1,3,0
696,110697,41859,0,2,4,0
311,77196,5690,0,0,0,0
601,135600,30103,0,1,4,0
552,120625,39263,0,1,3,0
798,99401,16085,0,1,3,1
334,20495,30825,0,3,2,0
389,64755,15720,0,1,1,0
717,87684,43641,0,3,0,0
414,53324,42271,1,1,0,0
495,98929,16720,1,3,1,0
800,21552,5897,0,2,3,0
792,71272,22094,0,2,4,0
374,55853,41463,2,3,0,1
712,138192,40454,0,0,1,0
675,52924,28572,1,0,2,0
719,94462,43546,0,3,2,1
576,116387,20150,2,2,3,0
693,43889,21799,0,3,0,0
756,125466,14663,0,0,4,0
491,74675,41948,1,3,0,0
398,142231,42030,0,2,2,0
847,93591,32007,0,0,0,0
395,90190,40283,0,0,2,0
489,42634,30671,1,1,1,0
336,52363,30385,0,1,1,0
668,83752,16236,0,0,2,0
824,97004,27024,0,0,4,0
578,76398,44384,0,3,4,0
516,118458,22376,0,2,0,0
572,60718,42138,0,0,2,0
361,133627,23157,0,2,3,0
641,102916,24945,0,0,4,0
696,46870,41584,0,2,4,0
318,57394,28017,0,1,1,0
476,72057,6756,0,0,4,0
695,99795,40141,0,3,4,0
744,100409,7576,2,2,4,0
532,33016,30467,0,0,2,0
375,62137,41952,1,1,2,0
564,20153,36205,0,1,1,0
754,27853,40165,0,1,0,1
683,32379,17674,0,1,4,0
805,35792,48094,0,0,0,0
666,141169,48314,2,3,2,0
443,58367,27353,2,2,4,0
368,38100,34849,1,3,0,0
398,146082,9535,0,2,0,0
695,133089,46936,0,3,3,1
324,83456,22118,0,0,2,0
768,31049,5632,2,0,1,0
783,20786,18280,0,2,1,0
450,89904,19746,0,0,3,0
443,50699,42036,0,2,0,0
338,142784,24285,0,3,3,0
408,67691,23047,2,0,3,0
341,57040,15207,0,0,2,0
485,138455,10591,0,2,4,0
697,112990,32757,0,2,0,0
522,77986,21226,1,2,1,0
432,58762,34732,0,2,1,0
462,43600,32206,1,1,3,1
514,114774,25256,0,2,3,0
534,110777,38822,1,1,3,0
308,39810,46340,1,3,0,0
373,105703,48351,0,2,3,0
791,107347,45775,0,1,3,0
552,125315,14784,0,1,4,0
529,77204,42029,0,1,0,0
818,40085,40157,1,0,2,0
473,66854,24937,0,1,2,0
467,94797,16219,0,2,4,0
469,104269,14399,0,2,1,0
692,59779,38312,0,2,2,0
493,76207,32657,1,1,0,0
816,114615,25047,0,1,1,0
328,53980,40007,2,0,3,0
464,76117,15559,2,3,0,0
721,34141,25157,0,0,1,0
638,29344,40395,0,2,2,0
795,125008,11618,1,2,3,0
664,35896,49891,0,2,3,0
641,109353,11780,0,0,0,0
799,49813,32050,0,2,3,0
810,104431,13015,0,2,1,0
626,85679,8130,1,2,4,0
516,30681,33083,0,1,2,0
600,92903,21480,0,3,0,0
431,23228,40476,2,1,4,0
369,24582,43165,1,1,4,0
551,98683,16528,0,3,0,0
714,31397,10914,1,3,1,0
744,58799,42136,0,0,2,0
481,57011,16179,1,3,0,0
466,99183,25472,0,0,4,0
390,113254,17076,0,0,4,0
830,64264,29783,1,1,0,0
338,62317,18824,0,2,4,0
425,67914,9299,2,1,0,0
750,104633,13118,0,1,0,0
472,122489,15756,2,3,2,0
519,144237,12953,2,3,0,1
357,65254,42552,0,0,4,0
775,60096,20185,1,0,3,0
755,73785,46792,0,0,2,0
660,72344,19674,2,3,4,0
300,134988,49476,0,0,4,0
686,102643,38927,1,0,2,0
647,140382,5386,0,3,2,0
489,88546,31617,0,2,4,0
804,91091,12192,0,1,3,0
490,85603,15745,0,3,1,0
807,48412,35020,1,0,4,0
668,130489,47678,0,1,2,0
708,71658,26159,0,3,0,0
416,119841,8409,0,1,0,0
433,69549,30745,0,1,2,1
357,147595,34455,0,2,2,0
472,31549,43910,1,0,1,0
448,91216,43735,2,3,2,0
379,45739,34166,0,0,0,1
512,41209,44973,0,2,3,0
502,127051,33072,0,2,2,0
528,107968,17109,0,3,1,0
526,35116,7484,0,3,3,0
831,40045,39622,1,2,1,0
740,46327,49399,0,3,3,0
701,55709,7597,1,1,2,0
346,63617,45597,0,1,0,0
532,80139,45954,0,2,3,0
604,46905,8983,0,0,4,1
825,84148,44452,0,3,1,1
442,92603,48151,0,3,3,0
714,118095,22040,1,1,1,0
812,139779,49772,0,3,0,0
672,62919,35554,1,0,1,1
558,103521,32916,0,3,1,1
770,112905,49871,0,3,4,0
311,103400,31372,0,1,1,0
629,108150,44080,0,3,3,0
657,78446,45706,0,2,1,0
707,72428,47722,0,2,2,0
672,67894,34048,0,0,1,0
307,101149,24669,0,0,2,0
421,26447,14777,0,0,1,0
647,25499,41331,0,0,1,0
389,59041,25968,0,1,3,0
615,51315,42809,2,3,2,0
477,21299,16292,0,1,2,0
839,140506,45794,1,0,4,1
340,125005,18923,0,3,1,0
801,24994,32703,1,2,1,0
444,115414,23657,0,1,3,0
500,101163,8629,2,3,4,0
760,146759,7114,0,2,4,0
846,27489,39445,1,2,3,0
552,111647,40862,0,0,2,0
689,52355,30574,0,2,0,0
555,93805,37349,0,2,3,0
749,88367,27257,0,0,2,0
309,129906,40052,0,3,4,0
541,137409,42820,0,3,3,0
550,97355,22973,0,0,0,0
304,136220,30737,2,1,1,0
418,110349,17047,0,0,3,0
673,107173,27113,1,3,0,0
364,21996,5694,0,1,0,0
445,139999,20588,0,0,3,0
523,64387,25067,2,3,2,0
538,134965,11704,1,3,3,0
476,23089,45136,1,3,4,0
581,118827,6971,0,2,0,0
362,40659,45823,0,2,0,0
516,65178,16441,0,1,1,0
760,140053,36476,0,1,0,0
404,115965,19677,0,1,1,0
398,101268,32818,1,2,0,1
810,105042,6868,1,1,0,0
684,126471,23055,0,3,3,0
704,90726,6728,0,3,3,0
817,90111,12632,1,1,4,0
775,126031,17043,0,1,2,0
736,133682,11403,0,2,4,0
322,54565,20732,0,3,0,0
757,120435,23526,0,0,4,0
382,109242,14340,2,0,3,0
444,133204,43952,0,2,0,1
384,149642,27394,0,2,0,0
377,42884,38021,0,2,4,0
756,37199,9102,2,3,1,1
300,80038,41310,1,1,2,0
350,77786,24159,0,1,4,0
745,129636,11212,0,2,4,0
748,124970,36824,0,3,2,0
787,69294,42405,0,0,0,0
333,98015,16525,0,2,0,0
647,54178,33760,0,3,1,0
394,32665,49239,0,2,4,0
371,149604,32457,0,3,2,0
453,20534,15532,0,3,4,0
549,111828,18518,1,2,3,0
737,56132,11476,0,1,4,1
417,135720,24743,0,2,4,0
605,56110,6004,2,1,3,0
567,78754,48054,0,1,3,0
353,83580,42485,1,0,2,0
535,42469,8271,0,3,0,0
688,84016,5209,0,2,1,0
700,66233,30463,1,3,3,0
602,122804,10539,0,0,0,1
506,149863,24977,1,1,2,0
528,86708,13606,0,2,4,0
374,78232,49384,0,3,2,0
734,113450,39052,0,0,2,0
402,106437,8148,0,1,3,0
721,126311,38536,0,1,1,0
605,54409,10607,0,3,3,0
397,135159,24586,0,1,4,0
634,39324,34250,0,0,3,0
734,28738,23594,1,1,4,0
746,123030,12399,0,2,3,1
607,130093,30117,2,2,1,0
548,44054,38126,0,3,0,0
465,49709,38617,0,0,1,0
780,129321,12498,1,1,3,0
634,105643,42290,0,1,2,0
841,148805,14628,0,1,0,1
405,20363,5329,0,2,2,0
380,30358,43619,0,0,1,0
432,121613,12032,0,1,0,0
437,135233,43034,2,3,3,0
483,23240,42122,0,0,2,0
700,92201,25622,1,0,3,1
629,65689,33584,0,1,4,0
807,21936,9722,0,2,0,0
368,132272,22772,0,0,2,0
845,111074,25569,1,3,1,0
352,63965,46679,1,0,1,0
749,97534,8235,0,2,1,0
504,20882,9576,0,3,1,1
425,40224,31707,0,2,2,0
342,125227,38868,0,1,4,0
410,143750,46632,0,0,1,0
482,139299,46476,1,3,1,0
394,145865,35285,0,2,1,0
673,132012,29154,1,1,4,0
819,143745,25054,0,3,0,0
659,50825,22165,0,0,1,0
580,90740,19439,0,0,1,0
494,48885,49518,1,2,1,0
494,60056,27515,1,3,0,1
392,23203,31962,0,1,1,0
360,80241,47549,0,1,0,0
350,22244,42763,0,1,0,0
702,118322,49754,0,2,3,0
304,135329,24464,0,1,3,0
765,88619,47036,1,3,1,0
833,41584,35413,0,2,2,0
704,28521,38270,1,0,3,0
812,70017,47299,0,2,3,0
532,53541,25269,0,2,2,0
823,49063,36541,2,2,4,0
645,90268,13009,0,3,1,1
345,145234,22007,2,0,4,1
845,146218,31462,0,0,4,0
377,138206,16542,0,2,0,0
372,84952,22434,1,2,0,0
548,113054,34765,2,2,1,0
346,59563,28769,0,3,2,0
420,59752,27465,0,3,0,0
513,115233,26868,1,1,3,0
538,22567,25156,1,0,1,0
355,36121,25300,0,1,4,0
649,21674,18435,1,1,1,0
406,96411,9114,0,2,0,0
347,129876,41135,0,3,2,0
636,86275,13095,0,1,4,0
325,87081,42909,0,1,2,0
556,49140,8951,2,1,1,0
307,145139,26468,0,2,2,0
552,29327,32073,2,2,2,0
602,90663,39341,0,3,1,0
355,43331,7768,1,1,4,0
825,43004,43070,1,1,2,0
773,127369,38979,0,3,2,0
327,139243,30351,0,3,1,0
377,30492,20445,0,3,3,0
515,74797,6160,1,0,2,0
685,78095,27361,1,3,0,0
664,33749,12041,0,2,4,0
825,83217,23767,1,0,2,0
611,109044,15846,0,3,1,0
306,29045,43644,0,2,0,1
302,40116,24924,1,3,1,0
662,38667,18882,0,3,2,0
807,95057,19738,1,0,0,0
573,94205,26019,0,2,4,0
805,47302,6095,0,1,4,0
314,31283,43669,0,3,4,0
491,50935,45983,0,0,3,0
784,92534,19123,1,2,1,0
327,114342,33132,0,3,2,0
338,51624,6079,0,1,0,0
572,33440,34657,0,2,1,1
530,131001,37375,0,2,2,0
385,66501,29754,1,0,3,0
773,107333,36153,0,3,2,0
425,21269,23344,0,3,1,0
836,27868,39241,2,2,2,0
444,50251,42656,0,3,0,0
824,97909,9979,1,2,3,0
511,104523,6212,0,1,0,0
324,58729,14001,0,0,3,1
693,35734,18248,1,3,3,0
366,62429,38187,1,3,2,0
532,61337,20608,0,0,0,0
408,60325,41427,0,1,3,0
445,103600,36368,0,1,3,0
410,82514,10283,0,1,2,0
527,28433,30854,1,1,1,0
410,133957,15715,0,1,1,0
769,29111,21165,0,2,4,0
333,123986,39108,1,3,4,0
668,83753,31797,0,3,3,1
724,133783,15584,0,3,1,0
817,100583,19780,1,2,3,0
581,93620,42905,1,0,0,0
619,41751,26573,0,1,1,0
742,36453,38359,0,0,1,0
614,105844,5526,0,1,1,0
676,58968,12855,0,1,4,0
588,50077,48463,0,0,2,0
736,128582,39060,1,3,2,0
576,54775,34482,2,2,4,0
802,78144,21571,1,0,4,0
815,68570,36740,0,3,4,0
649,66097,24142,1,1,2,0
745,44503,30104,0,3,3,0
649,22779,13625,0,1,4,0
436,106840,44199,0,1,3,0
542,20755,20926,0,3,3,0
842,59263,36218,2,1,0,0
339,128491,49472,0,2,2,0
528,75087,31380,0,3,3,0
847,62281,25566,2,0,2,0
522,71482,38205,0,1,2,0
305,74857,48548,1,1,0,0
621,142989,34717,0,2,2,0
767,37400,46756,0,2,3,0
374,60115,30135,2,0,1,0
303,34249,33164,0,1,3,0
417,133183,13953,0,0,3,0
803,66825,43562,0,0,2,0
740,130361,8574,0,1,3,0
493,44600,25169,0,0,1,0
691,57706,26604,0,0,2,0
325,39222,29134,0,2,4,0
734,119041,28202,1,2,3,0
472,124504,5684,0,0,3,0
599,61139,42001,0,1,0,0
625,134919,13007,0,2,4,0
709,136605,40096,2,0,4,0
417,61302,46787,2,3,1,0
524,114684,14255,1,3,4,1
831,107838,37262,1,0,0,0
412,88159,23093,0,3,1,0
439,28646,10782,0,2,4,0
300,33543,6234,0,1,1,0
389,114496,42973,0,0,4,0
619,148212,39188,0,2,4,1
849,42785,36996,0,1,4,0
438,98353,34204,2,3,3,0
810,51406,22152,1,3,4,0
558,108992,47364,0,3,3,0
309,71428,30019,1,3,2,1
560,43777,24488,0,2,0,0
471,77939,42123,0,2,1,0
312,73026,24689,0,1,1,0
467,106450,33506,0,0,2,0
620,49553,22715,0,1,4,0
618,43548,46029,1,0,0,0
628,83221,18765,0,3,2,0
849,57265,26942,0,3,2,0
718,145549,43712,0,3,1,0
394,60701,44894,0,3,3,0
617,71287,43031,1,2,3,0
535,26727,25478,0,1,4,0
633,130460,27551,2,0,4,0
675,70717,33072,2,0,2,0
758,52427,40561,0,2,4,0
436,36692,7892,0,3,3,0
846,51625,38966,1,1,0,1
812,44918,29395,2,3,1,0
595,126931,23756,0,2,3,0
619,61136,27174,1,0,4,0
648,134826,39651,1,2,1,1
528,134881,5797,0,0,1,0
569,72409,13209,0,1,2,0
590,35577,46003,1,0,4,0
464,105155,26346,0,1,2,1
304,131776,33024,0,3,1,0
678,119246,34414,0,3,2,0
377,122924,45818,0,2,4,0
709,146759,10947,0,1,3,1
431,140408,14617,2,3,0,0
341,101731,25704,0,1,3,0
388,47689,33702,0,3,1,0
701,31154,6892,0,3,3,0
595,124657,34754,0,0,2,0
594,114948,8424,0,2,4,0
825,41341,47218,0,0,3,1
721,117554,18418,0,1,3,0
322,94681,34886,0,3,4,1
442,127798,39783,0,2,2,0
444,66330,28057,0,3,0,0
524,138069,9833,2,3,3,0
802,107759,14894,0,0,1,0
403,88416,46833,0,1,2,0
338,145067,5565,1,2,2,0
497,106807,45180,0,2,3,1
690,53313,23402,0,2,4,0
478,66900,47845,0,1,3,0
747,98840,15315,0,2,3,0
799,54695,17834,1,1,4,0
314,50225,7314,2,2,1,0
588,106072,42180,0,3,4,0
777,116367,8883,0,1,3,0
530,69156,49152,0,0,0,0
719,97209,15051,2,2,4,1
456,107453,45984,2,0,1,0
849,47829,16695,0,1,4,1
740,100908,28123,0,3,4,0
396,45938,12902,0,0,2,0
710,79164,22573,0,0,2,0
588,74530,34374,0,3,3,0
553,140921,17288,0,3,3,0
495,88199,11884,0,1,4,0
821,80282,15559,2,2,0,0
816,67801,23125,2,0,3,0
417,29465,8688,0,0,4,0
458,23326,28869,0,1,4,0
527,23659,43137,1,2,4,0
515,80289,49706,0,1,4,0
314,47594,9023,0,0,4,0
456,135819,22100,0,0,2,0
560,24763,41735,0,3,1,0
456,108657,12423,0,3,1,0
346,30828,44218,0,2,4,0
623,67588,17213,0,0,3,0
429,31221,40983,0,0,0,0
710,31211,38158,0,3,4,0
394,33569,33460,0,1,0,0
591,116894,36017,1,1,2,0
582,57860,38000,0,0,1,0
368,91558,31502,0,0,2,0
310,65337,35990,0,2,3,1
553,72311,24515,0,2,3,0
849,33515,34991,0,3,4,1
433,91695,12634,1,0,3,0
322,142006,16498,0,1,3,0
645,131527,15916,0,2,2,0
601,126749,34377,1,3,0,0
662,107227,38001,0,3,1,0
695,44904,6391,0,1,3,0
517,79935,48852,0,2,3,0
440,63790,47215,0,1,2,0
509,88580,19184,1,3,1,0
759,95148,32114,0,0,2,0
655,25636,16882,0,1,0,0
623,97129,22273,1,3,2,0
432,134483,45670,0,0,1,1
426,22892,22129,0,0,1,1
405,41672,47679,0,2,3,0
677,25812,5427,0,2,0,0
350,116621,36416,2,3,4,0
328,148177,5731,1,1,3,0
761,20654,5799,0,0,2,1
595,74633,33873,0,2,2,1
596,37143,12025,0,2,1,0
706,75934,19481,0,1,1,0
704,87334,30411,0,2,1,0
645,123463,36358,0,3,4,0
719,145851,45392,1,1,4,0
481,49087,19961,1,0,3,1
300,31618,26767,0,3,4,0
670,28446,46000,0,0,1,1
730,107182,41135,0,0,3,0
608,122127,26392,1,2,3,0
436,68867,18262,1,3,0,0
501,71028,10229,2,3,4,0
735,80101,28772,0,1,2,0
612,47200,23799,0,3,2,0
416,115107,28555,0,1,0,0
543,108074,31616,0,3,1,0
836,126091,24333,0,0,0,0
374,81465,9261,0,1,1,0
685,129500,8466,0,3,4,0
509,106436,8088,0,1,4,0
774,138422,6115,0,2,3,0
